1{'age_gps_data': '0.50', 'easting': 2279607.0956550227, 'latd': 44.56740323166667, 'lat_direction': 'N', 'timestamp': '231441.00', 'lond': 123.27509206833334, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055241', 'antenna_altitude': '51.239', 'geo_sep': '', 'latitude': '4434.0441939', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59536806215}
3{'age_gps_data': '', 'easting': 2279608.119460178, 'latd': 44.56741796166666, 'lat_direction': 'N', 'timestamp': '231448.00', 'lond': 123.27507988, 'gps_qual': '1', 'ref_station_id': '*06\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047928', 'antenna_altitude': '45.195', 'geo_sep': '', 'latitude': '4434.0450777', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19791713636}
2{'age_gps_data': '0.76', 'easting': 2279607.6079289806, 'latd': 44.567408908333334, 'lat_direction': 'N', 'timestamp': '231448.00', 'lond': 123.27508588833334, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051533', 'antenna_altitude': '51.584', 'geo_sep': '', 'latitude': '4434.0445345', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.20891539566}
1{'age_gps_data': '0.56', 'easting': 2279607.093907034, 'latd': 44.567403155, 'lat_direction': 'N', 'timestamp': '231445.00', 'lond': 123.27509208666666, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055252', 'antenna_altitude': '51.241', 'geo_sep': '', 'latitude': '4434.0441893', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.58690407779}
3{'age_gps_data': '', 'easting': 2279608.1157020754, 'latd': 44.56741787833333, 'lat_direction': 'N', 'timestamp': '231449.00', 'lond': 123.27507992333334, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047954', 'antenna_altitude': '45.204', 'geo_sep': '', 'latitude': '4434.0450727', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.18878100067}
1{'age_gps_data': '0.74', 'easting': 2279607.1018915013, 'latd': 44.567403201666664, 'lat_direction': 'N', 'timestamp': '231446.00', 'lond': 123.27509198833333, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055193', 'antenna_altitude': '51.232', 'geo_sep': '', 'latitude': '4434.0441921', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59181826282}
2{'age_gps_data': '0.52', 'easting': 2279607.608490029, 'latd': 44.567408916666665, 'lat_direction': 'N', 'timestamp': '231449.00', 'lond': 123.27508588166667, 'gps_qual': '2', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051529', 'antenna_altitude': '51.579', 'geo_sep': '', 'latitude': '4434.0445350', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.20982264541}
3{'age_gps_data': '', 'easting': 2279608.113798834, 'latd': 44.567417865, 'lat_direction': 'N', 'timestamp': '231450.00', 'lond': 123.27507994666666, 'gps_qual': '1', 'ref_station_id': '*0F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047968', 'antenna_altitude': '45.199', 'geo_sep': '', 'latitude': '4434.0450719', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.18736395705}
1{'age_gps_data': '0.56', 'easting': 2279607.1023571473, 'latd': 44.567403185, 'lat_direction': 'N', 'timestamp': '231447.00', 'lond': 123.27509198166666, 'gps_qual': '2', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055189', 'antenna_altitude': '51.230', 'geo_sep': '', 'latitude': '4434.0441911', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.58994920924}
2{'age_gps_data': '0.78', 'easting': 2279607.606612227, 'latd': 44.56740891, 'lat_direction': 'N', 'timestamp': '231450.00', 'lond': 123.275085905, 'gps_qual': '2', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051543', 'antenna_altitude': '51.576', 'geo_sep': '', 'latitude': '4434.0445346', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.20914594829}
3{'age_gps_data': '', 'easting': 2279608.1118217674, 'latd': 44.567417901666666, 'lat_direction': 'N', 'timestamp': '231451.00', 'lond': 123.27507997333333, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047984', 'antenna_altitude': '45.196', 'geo_sep': '', 'latitude': '4434.0450741', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19150861446}
1{'age_gps_data': '0.75', 'easting': 2279607.104448696, 'latd': 44.567403178333336, 'lat_direction': 'N', 'timestamp': '231448.00', 'lond': 123.275091955, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055173', 'antenna_altitude': '51.226', 'geo_sep': '', 'latitude': '4434.0441907', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.58913611528}
2{'age_gps_data': '0.58', 'easting': 2279607.609573962, 'latd': 44.56740892333333, 'lat_direction': 'N', 'timestamp': '231451.00', 'lond': 123.27508586833333, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051521', 'antenna_altitude': '51.570', 'geo_sep': '', 'latitude': '4434.0445354', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.21052662097}
3{'age_gps_data': '', 'easting': 2279608.114129556, 'latd': 44.56741795166667, 'lat_direction': 'N', 'timestamp': '231452.00', 'lond': 123.27507994666666, 'gps_qual': '1', 'ref_station_id': '*09\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047968', 'antenna_altitude': '45.193', 'geo_sep': '', 'latitude': '4434.0450771', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19698847737}
1{'age_gps_data': '0.64', 'easting': 2279607.105110252, 'latd': 44.567403178333336, 'lat_direction': 'N', 'timestamp': '231449.00', 'lond': 123.27509194666666, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055168', 'antenna_altitude': '51.230', 'geo_sep': '', 'latitude': '4434.0441907', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.58911338262}
2{'age_gps_data': '0.77', 'easting': 2279607.6358199366, 'latd': 44.56740904, 'lat_direction': 'N', 'timestamp': '231452.00', 'lond': 123.27508554333333, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051326', 'antenna_altitude': '51.625', 'geo_sep': '', 'latitude': '4434.0445424', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.22259612381}
3{'age_gps_data': '', 'easting': 2279608.1229473003, 'latd': 44.56741804333333, 'lat_direction': 'N', 'timestamp': '231453.00', 'lond': 123.27507984, 'gps_qual': '1', 'ref_station_id': '*06\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047904', 'antenna_altitude': '45.174', 'geo_sep': '', 'latitude': '4434.0450826', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.20687727723}
1{'age_gps_data': '0.75', 'easting': 2279607.104550457, 'latd': 44.567403205, 'lat_direction': 'N', 'timestamp': '231450.00', 'lond': 123.275091955, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055173', 'antenna_altitude': '51.229', 'geo_sep': '', 'latitude': '4434.0441923', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59209750593}
2{'age_gps_data': '0.57', 'easting': 2279607.6565037095, 'latd': 44.56740919, 'lat_direction': 'N', 'timestamp': '231453.00', 'lond': 123.27508529, 'gps_qual': '2', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051174', 'antenna_altitude': '51.643', 'geo_sep': '', 'latitude': '4434.0445514', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.23856286891}
3{'age_gps_data': '', 'easting': 2279608.1171230907, 'latd': 44.567417973333335, 'lat_direction': 'N', 'timestamp': '231454.00', 'lond': 123.27507991, 'gps_qual': '1', 'ref_station_id': '*06\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047946', 'antenna_altitude': '45.172', 'geo_sep': '', 'latitude': '4434.0450784', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19929458201}
1{'age_gps_data': '0.47', 'easting': 2279607.1064485894, 'latd': 44.56740325166667, 'lat_direction': 'N', 'timestamp': '231451.00', 'lond': 123.27509193333333, 'gps_qual': '2', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055160', 'antenna_altitude': '51.225', 'geo_sep': '', 'latitude': '4434.0441951', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59722083434}
2{'age_gps_data': '0.78', 'easting': 2279607.6766264373, 'latd': 44.56740933166667, 'lat_direction': 'N', 'timestamp': '231454.00', 'lond': 123.27508504333333, 'gps_qual': '2', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051026', 'antenna_altitude': '51.680', 'geo_sep': '', 'latitude': '4434.0445599', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.25362236612}
3{'age_gps_data': '', 'easting': 2279608.1123649837, 'latd': 44.56741794, 'lat_direction': 'N', 'timestamp': '231455.00', 'lond': 123.27507996833333, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047981', 'antenna_altitude': '45.165', 'geo_sep': '', 'latitude': '4434.0450764', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19575197343}
1{'age_gps_data': '0.76', 'easting': 2279607.106856995, 'latd': 44.56740322, 'lat_direction': 'N', 'timestamp': '231452.00', 'lond': 123.27509192666666, 'gps_qual': '2', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055156', 'antenna_altitude': '51.234', 'geo_sep': '', 'latitude': '4434.0441932', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59368599672}
2{'age_gps_data': '0.55', 'easting': 2279607.712533661, 'latd': 44.567409518333335, 'lat_direction': 'N', 'timestamp': '231455.00', 'lond': 123.2750846, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5050760', 'antenna_altitude': '51.746', 'geo_sep': '', 'latitude': '4434.0445711', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.27314271498}
3{'age_gps_data': '', 'easting': 2279608.114086283, 'latd': 44.567417975, 'lat_direction': 'N', 'timestamp': '231456.00', 'lond': 123.27507994833333, 'gps_qual': '1', 'ref_station_id': '*0F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047969', 'antenna_altitude': '45.157', 'geo_sep': '', 'latitude': '4434.0450785', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19958423823}
1{'age_gps_data': '0.60', 'easting': 2279607.105573289, 'latd': 44.567403265, 'lat_direction': 'N', 'timestamp': '231453.00', 'lond': 123.275091945, 'gps_qual': '2', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055167', 'antenna_altitude': '51.211', 'geo_sep': '', 'latitude': '4434.0441959', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59873335529}
2{'age_gps_data': '0.75', 'easting': 2279607.7630981756, 'latd': 44.567409766666664, 'lat_direction': 'N', 'timestamp': '231456.00', 'lond': 123.275083975, 'gps_qual': '2', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5050385', 'antenna_altitude': '51.832', 'geo_sep': '', 'latitude': '4434.0445860', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.29901570454}
3{'age_gps_data': '', 'easting': 2279608.1177744283, 'latd': 44.56741804, 'lat_direction': 'N', 'timestamp': '231457.00', 'lond': 123.275079905, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047943', 'antenna_altitude': '45.146', 'geo_sep': '', 'latitude': '4434.0450824', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.20668441802}
1{'age_gps_data': '0.76', 'easting': 2279607.1057195705, 'latd': 44.567403303333336, 'lat_direction': 'N', 'timestamp': '231454.00', 'lond': 123.275091945, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055167', 'antenna_altitude': '51.212', 'geo_sep': '', 'latitude': '4434.0441982', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.60299035441}
2{'age_gps_data': '0.65', 'easting': 2279607.809296402, 'latd': 44.567410015, 'lat_direction': 'N', 'timestamp': '231457.00', 'lond': 123.275083405, 'gps_qual': '2', 'ref_station_id': '0244*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5050043', 'antenna_altitude': '51.910', 'geo_sep': '', 'latitude': '4434.0446009', 'num_sats': '05', 'horizontal_dil': '1.6', 'altitude_units': 'M', 'northing': 103878.3250387311}
3{'age_gps_data': '', 'easting': 2279608.131650565, 'latd': 44.567418105, 'lat_direction': 'N', 'timestamp': '231458.00', 'lond': 123.27507973333333, 'gps_qual': '1', 'ref_station_id': '*05\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047840', 'antenna_altitude': '45.138', 'geo_sep': '', 'latitude': '4434.0450863', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.21343451366}
1{'age_gps_data': '0.66', 'easting': 2279607.1083530826, 'latd': 44.5674033, 'lat_direction': 'N', 'timestamp': '231455.00', 'lond': 123.27509191166666, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055147', 'antenna_altitude': '51.221', 'geo_sep': '', 'latitude': '4434.0441980', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.60252925009}
2{'age_gps_data': '', 'easting': 2279611.121439905, 'latd': 44.567420586666664, 'lat_direction': 'N', 'timestamp': '231458.00', 'lond': 123.27504219166667, 'gps_qual': '1', 'ref_station_id': '*09\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5025315', 'antenna_altitude': '57.615', 'geo_sep': '', 'latitude': '4434.0452352', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103879.38661860209}
3{'age_gps_data': '', 'easting': 2279608.124382399, 'latd': 44.56741800333333, 'lat_direction': 'N', 'timestamp': '231459.00', 'lond': 123.27507982, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047892', 'antenna_altitude': '45.147', 'geo_sep': '', 'latitude': '4434.0450802', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.20238063112}
1{'age_gps_data': '0.74', 'easting': 2279607.110078243, 'latd': 44.567403266666666, 'lat_direction': 'N', 'timestamp': '231456.00', 'lond': 123.27509188833334, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055133', 'antenna_altitude': '51.211', 'geo_sep': '', 'latitude': '4434.0441960', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59876385797}
2{'age_gps_data': '', 'easting': 2279611.6154821455, 'latd': 44.56742297666667, 'lat_direction': 'N', 'timestamp': '231459.00', 'lond': 123.27503608333333, 'gps_qual': '1', 'ref_station_id': '*0C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5021650', 'antenna_altitude': '58.621', 'geo_sep': '', 'latitude': '4434.0453786', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103879.63537037373}
3{'age_gps_data': '', 'easting': 2279608.1234867694, 'latd': 44.56741797666667, 'lat_direction': 'N', 'timestamp': '231500.00', 'lond': 123.27507983, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047898', 'antenna_altitude': '45.145', 'geo_sep': '', 'latitude': '4434.0450786', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19944652356}
1{'age_gps_data': '0.52', 'easting': 2279607.1100528026, 'latd': 44.56740326, 'lat_direction': 'N', 'timestamp': '231457.00', 'lond': 123.27509188833334, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055133', 'antenna_altitude': '51.207', 'geo_sep': '', 'latitude': '4434.0441956', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59802351147}
2{'age_gps_data': '', 'easting': 2279613.622998468, 'latd': 44.56743243, 'lat_direction': 'N', 'timestamp': '231500.00', 'lond': 123.27501125, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5006750', 'antenna_altitude': '62.937', 'geo_sep': '', 'latitude': '4434.0459458', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103880.61744112615}
3{'age_gps_data': '', 'easting': 2279608.12029857, 'latd': 44.567417973333335, 'lat_direction': 'N', 'timestamp': '231501.00', 'lond': 123.27507987, 'gps_qual': '1', 'ref_station_id': '*05\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047922', 'antenna_altitude': '45.150', 'geo_sep': '', 'latitude': '4434.0450784', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19918546453}
1{'age_gps_data': '0.76', 'easting': 2279607.1074434817, 'latd': 44.567403235, 'lat_direction': 'N', 'timestamp': '231458.00', 'lond': 123.27509192, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055152', 'antenna_altitude': '51.220', 'geo_sep': '', 'latitude': '4434.0441941', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59533359203}
2{'age_gps_data': '', 'easting': 2279611.9013403244, 'latd': 44.56742445, 'lat_direction': 'N', 'timestamp': '231501.00', 'lond': 123.27503255333333, 'gps_qual': '1', 'ref_station_id': '*0D\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5019532', 'antenna_altitude': '59.138', 'geo_sep': '', 'latitude': '4434.0454670', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103879.78935776744}
3{'age_gps_data': '', 'easting': 2279608.1167401248, 'latd': 44.56741801166667, 'lat_direction': 'N', 'timestamp': '231502.00', 'lond': 123.27507991666667, 'gps_qual': '1', 'ref_station_id': '*00\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047950', 'antenna_altitude': '45.157', 'geo_sep': '', 'latitude': '4434.0450807', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.20356976707}
1{'age_gps_data': '0.54', 'easting': 2279607.1066050897, 'latd': 44.567403223333336, 'lat_direction': 'N', 'timestamp': '231459.00', 'lond': 123.27509193, 'gps_qual': '2', 'ref_station_id': '0244*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055158', 'antenna_altitude': '51.208', 'geo_sep': '', 'latitude': '4434.0441934', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59406526387}
2{'age_gps_data': '', 'easting': 2279611.9563435437, 'latd': 44.56742478666666, 'lat_direction': 'N', 'timestamp': '231502.00', 'lond': 123.27503187666667, 'gps_qual': '1', 'ref_station_id': '*0D\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5019126', 'antenna_altitude': '59.172', 'geo_sep': '', 'latitude': '4434.0454872', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103879.82489945553}
3{'age_gps_data': '', 'easting': 2279608.1344430787, 'latd': 44.567418143333335, 'lat_direction': 'N', 'timestamp': '231503.00', 'lond': 123.2750797, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5047820', 'antenna_altitude': '45.146', 'geo_sep': '', 'latitude': '4434.0450886', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.21760058124}
