1{'age_gps_data': '0.51', 'easting': 2279781.2637126297, 'latd': 44.565164525, 'lat_direction': 'N', 'timestamp': '185343.00', 'lond': 123.272790635, 'gps_qual': '4', 'ref_station_id': '0375*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674381', 'antenna_altitude': '47.646', 'geo_sep': '', 'latitude': '4433.9098715', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.70637698192}
2{'age_gps_data': '0.28', 'easting': 2279780.8146087728, 'latd': 44.565166428333335, 'lat_direction': 'N', 'timestamp': '185357.00', 'lond': 123.27279638333333, 'gps_qual': '4', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677830', 'antenna_altitude': '47.672', 'geo_sep': '', 'latitude': '4433.9099857', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93341517821}
3{'age_gps_data': '0.22', 'easting': 2279780.3725177427, 'latd': 44.56516833166667, 'lat_direction': 'N', 'timestamp': '185358.00', 'lond': 123.27280204333333, 'gps_qual': '4', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681226', 'antenna_altitude': '47.667', 'geo_sep': '', 'latitude': '4433.9100999', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16021262947}
1{'age_gps_data': '0.18', 'easting': 2279781.2604099284, 'latd': 44.565164491666664, 'lat_direction': 'N', 'timestamp': '185352.00', 'lond': 123.272790675, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674405', 'antenna_altitude': '47.663', 'geo_sep': '', 'latitude': '4433.9098695', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70278426912}
2{'age_gps_data': '0.43', 'easting': 2279780.8140922147, 'latd': 44.56516643166667, 'lat_direction': 'N', 'timestamp': '185358.00', 'lond': 123.27279639, 'gps_qual': '4', 'ref_station_id': '0375*1D\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677834', 'antenna_altitude': '47.673', 'geo_sep': '', 'latitude': '4433.9099859', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93380352482}
3{'age_gps_data': '1.22', 'easting': 2279780.3704705746, 'latd': 44.56516835, 'lat_direction': 'N', 'timestamp': '185359.00', 'lond': 123.27280207, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681242', 'antenna_altitude': '47.669', 'geo_sep': '', 'latitude': '4433.9101010', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1623212751}
1{'age_gps_data': '0.49', 'easting': 2279781.2597737634, 'latd': 44.56516449833333, 'lat_direction': 'N', 'timestamp': '185353.00', 'lond': 123.27279068333333, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674410', 'antenna_altitude': '47.651', 'geo_sep': '', 'latitude': '4433.9098699', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.7035473343}
2{'age_gps_data': '0.15', 'easting': 2279780.810639263, 'latd': 44.565166428333335, 'lat_direction': 'N', 'timestamp': '185359.00', 'lond': 123.27279643333334, 'gps_qual': '4', 'ref_station_id': '0375*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677860', 'antenna_altitude': '47.671', 'geo_sep': '', 'latitude': '4433.9099857', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93355146796}
3{'age_gps_data': '0.20', 'easting': 2279780.3717810325, 'latd': 44.56516834666667, 'lat_direction': 'N', 'timestamp': '185400.00', 'lond': 123.27280205333334, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681232', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9101008', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16190567054}
1{'age_gps_data': '0.22', 'easting': 2279781.2583246306, 'latd': 44.5651645, 'lat_direction': 'N', 'timestamp': '185354.00', 'lond': 123.27279070166666, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674421', 'antenna_altitude': '47.654', 'geo_sep': '', 'latitude': '4433.9098700', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.7037823936}
2{'age_gps_data': '1.15', 'easting': 2279780.811407747, 'latd': 44.56516642166667, 'lat_direction': 'N', 'timestamp': '185400.00', 'lond': 123.27279642333333, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677854', 'antenna_altitude': '47.670', 'geo_sep': '', 'latitude': '4433.9099853', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93278386258}
3{'age_gps_data': '1.20', 'easting': 2279780.3709120085, 'latd': 44.565168361666665, 'lat_direction': 'N', 'timestamp': '185401.00', 'lond': 123.272802065, 'gps_qual': '4', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681239', 'antenna_altitude': '47.668', 'geo_sep': '', 'latitude': '4433.9101017', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16360325553}
1{'age_gps_data': '0.51', 'easting': 2279781.260208842, 'latd': 44.56516450833333, 'lat_direction': 'N', 'timestamp': '185355.00', 'lond': 123.27279067833334, 'gps_qual': '4', 'ref_station_id': '0375*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674407', 'antenna_altitude': '47.658', 'geo_sep': '', 'latitude': '4433.9098705', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70464422647}
2{'age_gps_data': '0.21', 'easting': 2279780.8116723807, 'latd': 44.56516642166667, 'lat_direction': 'N', 'timestamp': '185401.00', 'lond': 123.27279642, 'gps_qual': '4', 'ref_station_id': '0375*1D\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677852', 'antenna_altitude': '47.667', 'geo_sep': '', 'latitude': '4433.9099853', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93277477752}
3{'age_gps_data': '0.16', 'easting': 2279780.368951539, 'latd': 44.56516833333333, 'lat_direction': 'N', 'timestamp': '185402.00', 'lond': 123.27280208833334, 'gps_qual': '4', 'ref_station_id': '0375*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681253', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9101000', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16052037757}
1{'age_gps_data': '0.24', 'easting': 2279781.258892027, 'latd': 44.56516451, 'lat_direction': 'N', 'timestamp': '185356.00', 'lond': 123.272790695, 'gps_qual': '4', 'ref_station_id': '0375*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674417', 'antenna_altitude': '47.649', 'geo_sep': '', 'latitude': '4433.9098706', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70487474557}
2{'age_gps_data': '1.21', 'easting': 2279780.811798344, 'latd': 44.56516642, 'lat_direction': 'N', 'timestamp': '185402.00', 'lond': 123.27279641833333, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677851', 'antenna_altitude': '47.670', 'geo_sep': '', 'latitude': '4433.9099852', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93258514721}
3{'age_gps_data': '0.49', 'easting': 2279780.369663963, 'latd': 44.56516834666667, 'lat_direction': 'N', 'timestamp': '185403.00', 'lond': 123.27280208, 'gps_qual': '4', 'ref_station_id': '0375*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681248', 'antenna_altitude': '47.664', 'geo_sep': '', 'latitude': '4433.9101008', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16197835933}
1{'age_gps_data': '0.45', 'easting': 2279781.2577000433, 'latd': 44.565164475, 'lat_direction': 'N', 'timestamp': '185357.00', 'lond': 123.27279070833333, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674425', 'antenna_altitude': '47.661', 'geo_sep': '', 'latitude': '4433.9098685', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70102425944}
2{'age_gps_data': '0.20', 'easting': 2279780.81257318, 'latd': 44.565166415, 'lat_direction': 'N', 'timestamp': '185403.00', 'lond': 123.27279640833333, 'gps_qual': '4', 'ref_station_id': '0375*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677845', 'antenna_altitude': '47.670', 'geo_sep': '', 'latitude': '4433.9099849', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93200262636}
3{'age_gps_data': '0.26', 'easting': 2279780.3694819426, 'latd': 44.56516836833333, 'lat_direction': 'N', 'timestamp': '185404.00', 'lond': 123.27280208333333, 'gps_qual': '4', 'ref_station_id': '0375*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681250', 'antenna_altitude': '47.661', 'geo_sep': '', 'latitude': '4433.9101021', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1643935768}
1{'age_gps_data': '0.20', 'easting': 2279781.257972164, 'latd': 44.565164511666666, 'lat_direction': 'N', 'timestamp': '185358.00', 'lond': 123.27279070666667, 'gps_qual': '4', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674424', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9098707', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70509163197}
2{'age_gps_data': '0.49', 'easting': 2279780.813562946, 'latd': 44.56516643166667, 'lat_direction': 'N', 'timestamp': '185404.00', 'lond': 123.27279639666666, 'gps_qual': '4', 'ref_station_id': '0375*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677838', 'antenna_altitude': '47.665', 'geo_sep': '', 'latitude': '4433.9099859', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93382169679}
3{'age_gps_data': '1.26', 'easting': 2279780.367661279, 'latd': 44.56516837666667, 'lat_direction': 'N', 'timestamp': '185405.00', 'lond': 123.27280210666666, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681264', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9101026', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16538261343}
1{'age_gps_data': '1.20', 'easting': 2279781.2553639556, 'latd': 44.56516452166667, 'lat_direction': 'N', 'timestamp': '185359.00', 'lond': 123.27279074, 'gps_qual': '4', 'ref_station_id': '0375*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674444', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9098713', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70629301481}
2{'age_gps_data': '0.26', 'easting': 2279780.8098199433, 'latd': 44.56516642166667, 'lat_direction': 'N', 'timestamp': '185405.00', 'lond': 123.27279644333333, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677866', 'antenna_altitude': '47.665', 'geo_sep': '', 'latitude': '4433.9099853', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93283837847}
3{'age_gps_data': '0.19', 'easting': 2279780.368385277, 'latd': 44.56516835833333, 'lat_direction': 'N', 'timestamp': '185406.00', 'lond': 123.27280209666667, 'gps_qual': '4', 'ref_station_id': '0375*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681258', 'antenna_altitude': '47.664', 'geo_sep': '', 'latitude': '4433.9101015', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16331939772}
1{'age_gps_data': '0.20', 'easting': 2279781.2564912597, 'latd': 44.565164505, 'lat_direction': 'N', 'timestamp': '185400.00', 'lond': 123.272790725, 'gps_qual': '4', 'ref_station_id': '0375*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674435', 'antenna_altitude': '47.659', 'geo_sep': '', 'latitude': '4433.9098703', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70440125652}
2{'age_gps_data': '0.48', 'easting': 2279780.811608833, 'latd': 44.565166405, 'lat_direction': 'N', 'timestamp': '185406.00', 'lond': 123.27279642, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677852', 'antenna_altitude': '47.674', 'geo_sep': '', 'latitude': '4433.9099843', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93092390522}
3{'age_gps_data': '0.51', 'easting': 2279780.3681714833, 'latd': 44.565168371666665, 'lat_direction': 'N', 'timestamp': '185407.00', 'lond': 123.2728021, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681260', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9101023', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16480918135}
1{'age_gps_data': '1.20', 'easting': 2279781.2561451467, 'latd': 44.56516451833333, 'lat_direction': 'N', 'timestamp': '185401.00', 'lond': 123.27279073, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674438', 'antenna_altitude': '47.658', 'geo_sep': '', 'latitude': '4433.9098711', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70589558221}
2{'age_gps_data': '0.26', 'easting': 2279780.811937015, 'latd': 44.56516642166667, 'lat_direction': 'N', 'timestamp': '185407.00', 'lond': 123.27279641666667, 'gps_qual': '4', 'ref_station_id': '0375*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677850', 'antenna_altitude': '47.669', 'geo_sep': '', 'latitude': '4433.9099853', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93276569154}
3{'age_gps_data': '0.26', 'easting': 2279780.367509898, 'latd': 44.565168371666665, 'lat_direction': 'N', 'timestamp': '185408.00', 'lond': 123.27280210833334, 'gps_qual': '4', 'ref_station_id': '0375*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681265', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9101023', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16483189631}
