3{'timestamp': '195715.00', 'gps_qual': '1', 'latitude': '4433.9739502', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '56.920', 'easting': 2279711.710731252, 'geo_sep': '', 'northing': 103743.83604627289, 'lat_direction': 'N', 'lond': 123.273718035, 'longitude': '12316.4230821', 'latd': 44.56623250333333, 'geo_sep_units': '', 'ref_station_id': '*0E\r\n', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195718.00', 'gps_qual': '2', 'latitude': '4433.9721762', 'age_gps_data': '0.62', 'lon_direction': 'W', 'antenna_altitude': '55.092', 'easting': 2279713.6808542036, 'geo_sep': '', 'northing': 103740.4810648216, 'lat_direction': 'N', 'lond': 123.27369179833333, 'longitude': '12316.4215079', 'latd': 44.56620293666667, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195719.00', 'gps_qual': '2', 'latitude': '4433.9733481', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '52.809', 'easting': 2279712.0041685635, 'geo_sep': '', 'northing': 103742.71024453081, 'lat_direction': 'N', 'lond': 123.27371385666666, 'longitude': '12316.4228314', 'latd': 44.566222468333336, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195719.00', 'gps_qual': '2', 'latitude': '4433.9721697', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '55.154', 'easting': 2279713.7045222465, 'geo_sep': '', 'northing': 103740.4682070911, 'lat_direction': 'N', 'lond': 123.273691495, 'longitude': '12316.4214897', 'latd': 44.56620282833333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
2{'timestamp': '195719.00', 'gps_qual': '2', 'latitude': '4433.9721697', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '55.154', 'easting': 2279713.7045222465, 'geo_sep': '', 'northing': 103740.4682070911, 'lat_direction': 'N', 'lond': 123.273691495, 'longitude': '12316.4214897', 'latd': 44.56620282833333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195720.00', 'gps_qual': '2', 'latitude': '4433.9732091', 'age_gps_data': '0.38', 'lon_direction': 'W', 'antenna_altitude': '52.772', 'easting': 2279712.124471365, 'geo_sep': '', 'northing': 103742.44853824098, 'lat_direction': 'N', 'lond': 123.27371223, 'longitude': '12316.4227338', 'latd': 44.56622015166667, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195714.00', 'gps_qual': '2', 'latitude': '4433.9726814', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '53.113', 'easting': 2279712.8886499084, 'geo_sep': '', 'northing': 103741.4444359066, 'lat_direction': 'N', 'lond': 123.27370218166666, 'longitude': '12316.4221309', 'latd': 44.56621135666666, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
2{'timestamp': '195720.00', 'gps_qual': '2', 'latitude': '4433.9721617', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '55.260', 'easting': 2279713.725713271, 'geo_sep': '', 'northing': 103740.45265485253, 'lat_direction': 'N', 'lond': 123.27369122166667, 'longitude': '12316.4214733', 'latd': 44.566202695, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195715.00', 'gps_qual': '2', 'latitude': '4433.9726654', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '53.154', 'easting': 2279712.899541109, 'geo_sep': '', 'northing': 103741.41441298835, 'lat_direction': 'N', 'lond': 123.27370203166667, 'longitude': '12316.4221219', 'latd': 44.56621109, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195721.00', 'gps_qual': '2', 'latitude': '4433.9721623', 'age_gps_data': '0.14', 'lon_direction': 'W', 'antenna_altitude': '55.320', 'easting': 2279713.7408352643, 'geo_sep': '', 'northing': 103740.45324731618, 'lat_direction': 'N', 'lond': 123.27369103166667, 'longitude': '12316.4214619', 'latd': 44.566202705, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
2{'timestamp': '195721.00', 'gps_qual': '2', 'latitude': '4433.9721623', 'age_gps_data': '0.14', 'lon_direction': 'W', 'antenna_altitude': '55.320', 'easting': 2279713.7408352643, 'geo_sep': '', 'northing': 103740.45324731618, 'lat_direction': 'N', 'lond': 123.27369103166667, 'longitude': '12316.4214619', 'latd': 44.566202705, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195722.00', 'gps_qual': '2', 'latitude': '4433.9729591', 'age_gps_data': '0.52', 'lon_direction': 'W', 'antenna_altitude': '52.755', 'easting': 2279712.339864777, 'geo_sep': '', 'northing': 103741.97787709255, 'lat_direction': 'N', 'lond': 123.27370931666667, 'longitude': '12316.4225590', 'latd': 44.566215985, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195716.00', 'gps_qual': '2', 'latitude': '4433.9726564', 'age_gps_data': '0.15', 'lon_direction': 'W', 'antenna_altitude': '53.145', 'easting': 2279712.90373231, 'geo_sep': '', 'northing': 103741.39759155829, 'lat_direction': 'N', 'lond': 123.27370197166667, 'longitude': '12316.4221183', 'latd': 44.56621094, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '07', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195722.00', 'gps_qual': '2', 'latitude': '4433.9721731', 'age_gps_data': '0.51', 'lon_direction': 'W', 'antenna_altitude': '55.418', 'easting': 2279713.758855003, 'geo_sep': '', 'northing': 103740.47264140006, 'lat_direction': 'N', 'lond': 123.27369081333333, 'longitude': '12316.4214488', 'latd': 44.566202885, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195717.00', 'gps_qual': '2', 'latitude': '4433.9726604', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '53.160', 'easting': 2279712.89962021, 'geo_sep': '', 'northing': 103741.40514500532, 'lat_direction': 'N', 'lond': 123.27370202666667, 'longitude': '12316.4221216', 'latd': 44.56621100666667, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '07', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195717.00', 'gps_qual': '2', 'latitude': '4433.9726604', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '53.160', 'easting': 2279712.89962021, 'geo_sep': '', 'northing': 103741.40514500532, 'lat_direction': 'N', 'lond': 123.27370202666667, 'longitude': '12316.4221216', 'latd': 44.56621100666667, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '07', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195723.00', 'gps_qual': '2', 'latitude': '4433.9721891', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '55.478', 'easting': 2279713.7614598726, 'geo_sep': '', 'northing': 103740.50220079068, 'lat_direction': 'N', 'lond': 123.27369079333333, 'longitude': '12316.4214476', 'latd': 44.56620315166667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195724.00', 'gps_qual': '2', 'latitude': '4433.9727565', 'age_gps_data': '0.67', 'lon_direction': 'W', 'antenna_altitude': '52.995', 'easting': 2279712.5712382053, 'geo_sep': '', 'northing': 103741.59450184647, 'lat_direction': 'N', 'lond': 123.27370624, 'longitude': '12316.4223744', 'latd': 44.56621260833333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195724.00', 'gps_qual': '2', 'latitude': '4433.9721947', 'age_gps_data': '0.45', 'lon_direction': 'W', 'antenna_altitude': '55.515', 'easting': 2279713.765520661, 'geo_sep': '', 'northing': 103740.51243842207, 'lat_direction': 'N', 'lond': 123.27369074666667, 'longitude': '12316.4214448', 'latd': 44.566203245, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
2{'timestamp': '195724.00', 'gps_qual': '2', 'latitude': '4433.9721947', 'age_gps_data': '0.45', 'lon_direction': 'W', 'antenna_altitude': '55.515', 'easting': 2279713.765520661, 'geo_sep': '', 'northing': 103740.51243842207, 'lat_direction': 'N', 'lond': 123.27369074666667, 'longitude': '12316.4214448', 'latd': 44.566203245, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195725.00', 'gps_qual': '2', 'latitude': '4433.9726868', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '52.971', 'easting': 2279712.6802009507, 'geo_sep': '', 'northing': 103741.4616016522, 'lat_direction': 'N', 'lond': 123.27370481166666, 'longitude': '12316.4222887', 'latd': 44.566211446666664, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195725.00', 'gps_qual': '2', 'latitude': '4433.9721948', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '55.582', 'easting': 2279713.7845803057, 'geo_sep': '', 'northing': 103740.51196911838, 'lat_direction': 'N', 'lond': 123.27369050666667, 'longitude': '12316.4214304', 'latd': 44.56620324666667, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
2{'timestamp': '195725.00', 'gps_qual': '2', 'latitude': '4433.9721948', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '55.582', 'easting': 2279713.7845803057, 'geo_sep': '', 'northing': 103740.51196911838, 'lat_direction': 'N', 'lond': 123.27369050666667, 'longitude': '12316.4214304', 'latd': 44.56620324666667, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
1{'timestamp': '195720.00', 'gps_qual': '2', 'latitude': '4433.9727151', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '53.374', 'easting': 2279712.881662478, 'geo_sep': '', 'northing': 103741.5071237944, 'lat_direction': 'N', 'lond': 123.27370229666667, 'longitude': '12316.4221378', 'latd': 44.56621191833333, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '07', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195726.00', 'gps_qual': '2', 'latitude': '4433.9721995', 'age_gps_data': '0.41', 'lon_direction': 'W', 'antenna_altitude': '55.626', 'easting': 2279713.793082575, 'geo_sep': '', 'northing': 103740.5203864593, 'lat_direction': 'N', 'lond': 123.27369040333333, 'longitude': '12316.4214242', 'latd': 44.566203325000004, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195721.00', 'gps_qual': '2', 'latitude': '4433.9727415', 'age_gps_data': '0.58', 'lon_direction': 'W', 'antenna_altitude': '53.460', 'easting': 2279712.8666690723, 'geo_sep': '', 'northing': 103741.55655935686, 'lat_direction': 'N', 'lond': 123.27370250666667, 'longitude': '12316.4221504', 'latd': 44.56621235833333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195721.00', 'gps_qual': '2', 'latitude': '4433.9727415', 'age_gps_data': '0.58', 'lon_direction': 'W', 'antenna_altitude': '53.460', 'easting': 2279712.8666690723, 'geo_sep': '', 'northing': 103741.55655935686, 'lat_direction': 'N', 'lond': 123.27370250666667, 'longitude': '12316.4221504', 'latd': 44.56621235833333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195727.00', 'gps_qual': '2', 'latitude': '4433.9725294', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '53.134', 'easting': 2279712.893012785, 'geo_sep': '', 'northing': 103741.16262193862, 'lat_direction': 'N', 'lond': 123.273702005, 'longitude': '12316.4221203', 'latd': 44.566208823333334, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '195722.00', 'gps_qual': '2', 'latitude': '4433.9727546', 'age_gps_data': '1.58', 'lon_direction': 'W', 'antenna_altitude': '53.474', 'easting': 2279712.870148113, 'geo_sep': '', 'northing': 103741.58071486838, 'lat_direction': 'N', 'lond': 123.27370247333333, 'longitude': '12316.4221484', 'latd': 44.566212576666665, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195722.00', 'gps_qual': '2', 'latitude': '4433.9727546', 'age_gps_data': '1.58', 'lon_direction': 'W', 'antenna_altitude': '53.474', 'easting': 2279712.870148113, 'geo_sep': '', 'northing': 103741.58071486838, 'lat_direction': 'N', 'lond': 123.27370247333333, 'longitude': '12316.4221484', 'latd': 44.566212576666665, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
3{'timestamp': '195728.00', 'gps_qual': '2', 'latitude': '4433.9724478', 'age_gps_data': '0.38', 'lon_direction': 'W', 'antenna_altitude': '53.240', 'easting': 2279713.0062470264, 'geo_sep': '', 'northing': 103741.00752370991, 'lat_direction': 'N', 'lond': 123.27370051333334, 'longitude': '12316.4220308', 'latd': 44.566207463333335, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195728.00', 'gps_qual': '2', 'latitude': '4433.9724478', 'age_gps_data': '0.38', 'lon_direction': 'W', 'antenna_altitude': '53.240', 'easting': 2279713.0062470264, 'geo_sep': '', 'northing': 103741.00752370991, 'lat_direction': 'N', 'lond': 123.27370051333334, 'longitude': '12316.4220308', 'latd': 44.566207463333335, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195723.00', 'gps_qual': '2', 'latitude': '4433.9727705', 'age_gps_data': '0.13', 'lon_direction': 'W', 'antenna_altitude': '53.506', 'easting': 2279712.879494667, 'geo_sep': '', 'northing': 103741.60985740926, 'lat_direction': 'N', 'lond': 123.27370236833333, 'longitude': '12316.4221421', 'latd': 44.56621284166667, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '195729.00', 'gps_qual': '2', 'latitude': '4433.9721966', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '55.985', 'easting': 2279713.929976035, 'geo_sep': '', 'northing': 103740.51031096932, 'lat_direction': 'N', 'lond': 123.27368867666667, 'longitude': '12316.4213206', 'latd': 44.56620327666667, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
1{'timestamp': '195724.00', 'gps_qual': '2', 'latitude': '4433.9727716', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '53.477', 'easting': 2279712.884460229, 'geo_sep': '', 'northing': 103741.61172522232, 'lat_direction': 'N', 'lond': 123.27370230666666, 'longitude': '12316.4221384', 'latd': 44.56621286, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
3{'timestamp': '195724.00', 'gps_qual': '2', 'latitude': '4433.9727716', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '53.477', 'easting': 2279712.884460229, 'geo_sep': '', 'northing': 103741.61172522232, 'lat_direction': 'N', 'lond': 123.27370230666666, 'longitude': '12316.4221384', 'latd': 44.56621286, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '195730.00', 'gps_qual': '2', 'latitude': '4433.9723351', 'age_gps_data': '0.36', 'lon_direction': 'W', 'antenna_altitude': '53.274', 'easting': 2279713.1992746363, 'geo_sep': '', 'northing': 103740.79205499124, 'lat_direction': 'N', 'lond': 123.27369799166667, 'longitude': '12316.4218795', 'latd': 44.566205585, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195725.00', 'gps_qual': '2', 'latitude': '4433.9727780', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '53.475', 'easting': 2279712.8996862904, 'geo_sep': '', 'northing': 103741.6230618218, 'lat_direction': 'N', 'lond': 123.27370212, 'longitude': '12316.4221272', 'latd': 44.56621296666667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
3{'timestamp': '195725.00', 'gps_qual': '2', 'latitude': '4433.9727780', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '53.475', 'easting': 2279712.8996862904, 'geo_sep': '', 'northing': 103741.6230618218, 'lat_direction': 'N', 'lond': 123.27370212, 'longitude': '12316.4221272', 'latd': 44.56621296666667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '195731.00', 'gps_qual': '2', 'latitude': '4433.9722763', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '53.364', 'easting': 2279713.2880246215, 'geo_sep': '', 'northing': 103740.68004730344, 'lat_direction': 'N', 'lond': 123.27369682666667, 'longitude': '12316.4218096', 'latd': 44.566204605, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '195731.00', 'gps_qual': '2', 'latitude': '4433.9722763', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '53.364', 'easting': 2279713.2880246215, 'geo_sep': '', 'northing': 103740.68004730344, 'lat_direction': 'N', 'lond': 123.27369682666667, 'longitude': '12316.4218096', 'latd': 44.566204605, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195726.00', 'gps_qual': '2', 'latitude': '4433.9727491', 'age_gps_data': '0.33', 'lon_direction': 'W', 'antenna_altitude': '53.325', 'easting': 2279712.90671422, 'geo_sep': '', 'northing': 103741.56926719844, 'lat_direction': 'N', 'lond': 123.27370200833333, 'longitude': '12316.4221205', 'latd': 44.566212485, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '06', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '195732.00', 'gps_qual': '2', 'latitude': '4433.9722357', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '53.406', 'easting': 2279713.363376963, 'geo_sep': '', 'northing': 103740.60222533811, 'lat_direction': 'N', 'lond': 123.273695845, 'longitude': '12316.4217507', 'latd': 44.56620392833333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195732.00', 'gps_qual': '2', 'latitude': '4433.9722357', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '53.406', 'easting': 2279713.363376963, 'geo_sep': '', 'northing': 103740.60222533811, 'lat_direction': 'N', 'lond': 123.273695845, 'longitude': '12316.4217507', 'latd': 44.56620392833333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195727.00', 'gps_qual': '2', 'latitude': '4433.9727468', 'age_gps_data': '0.66', 'lon_direction': 'W', 'antenna_altitude': '53.201', 'easting': 2279712.895321283, 'geo_sep': '', 'northing': 103741.56539647188, 'lat_direction': 'N', 'lond': 123.27370215, 'longitude': '12316.4221290', 'latd': 44.56621244666667, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '06', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '195728.00', 'gps_qual': '2', 'latitude': '4433.9727290', 'age_gps_data': '0.19', 'lon_direction': 'W', 'antenna_altitude': '53.060', 'easting': 2279712.8977622474, 'geo_sep': '', 'northing': 103741.53232828248, 'lat_direction': 'N', 'lond': 123.273702105, 'longitude': '12316.4221263', 'latd': 44.56621215, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '06', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
1{'timestamp': '195728.00', 'gps_qual': '2', 'latitude': '4433.9727290', 'age_gps_data': '0.19', 'lon_direction': 'W', 'antenna_altitude': '53.060', 'easting': 2279712.8977622474, 'geo_sep': '', 'northing': 103741.53232828248, 'lat_direction': 'N', 'lond': 123.273702105, 'longitude': '12316.4221263', 'latd': 44.56621215, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '06', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
